Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-39mm/L3.676.4.16.6.html
,,,,,38.5mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.921.4.11.2.html
,,Fixed,,,41mm ,Stainless Steel,Round,12.2mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Grey,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-Big-Crown-ProPilot-Date-01-751-7697-4063-07-5-20-19FC.html
,,Fixed,,,39mm ,Stainless Steel & Yellow Gold,Round,7.9mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,100m/330ft,https://www.prestigetime.com/item/Raymond-Weil/Tango/5591-stp-00308.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1112.ba0875.html
,,,,,36mm ,PVD,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.2.11.2.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,12mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-HydroConquest-Automatic-41mm-L3-742-4-56-6-L37424566.html
,,Fixed,,,42mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m,https://www.prestigetime.com/item/Baume-Mercier/Classima-Quartz-42mm/8485.html
,,Fixed,,,39mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,30m/100ft,https://www.prestigetime.com/item/Baume-Mercier/Classima-Quartz-39mm/10098.html
,,Fixed,,,39mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/item/Baume-Mercier/Classima-Quartz-39mm/10097.html
,,Fixed,,,39.5mm ,PVD,Round,9.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/Raymond-Weil-Maestro-2237-pc-00659.html
,,Fixed,,,42mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m,https://www.prestigetime.com/Baume-Mercier-Classima-Quartz-42mm-10144.html
,,Fixed,,,42mm ,Stainless Steel,Round,6mm,,,,New/Unworn,Scratch Resistant Sapphire,Grey,,,,No,30m,https://www.prestigetime.com/item/Baume-Mercier/Classima-Quartz-42mm/10266.html
,,Fixed,,,42mm ,Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Silver,,,,Yes,100m/330ft,https://www.prestigetime.com/Oris-BC3-Advanced-Day-Date-42mm-01-735-7641-4161-07-5-22-26.html
,,Uni-Directional Rotating,,,43mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,200m/660ft,https://www.prestigetime.com/Tag-Heuer-Formula-1-Quartz-43mm-waz1010-ba0842.html
,,Fixed,,,37mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4034-07_8_18_61.html
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Automatic-39mm-L37764766.html
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Automatic-39mm-L37764586.html
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Automatic-39mm-L37764996.html
,,Fixed,,,42mm ,DLC Coated Stainless Steel,Round,11.10mm,,,,New/Unworn,Anti-Reflective Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Oris/BC3-Advanced-Day-Date-42mm/01_735_7641_4364-07_4_22_05.html
,,Fixed,,,42mm ,Stainless Steel,Round,10.50mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Chronograph-42mm/mi1028-ss002-331.html
